1,北海道,2023-07-14 00:00:00,,
2,青森県,2023-07-14 00:00:00,,
3,岩手県,2023-07-14 00:00:00,,
4,宮城県,2023-07-14 00:00:00,,
5,秋田県,2023-07-14 00:00:00,,
6,山形県,2023-07-14 00:00:00,,
7,福島県,2023-07-14 00:00:00,,
8,茨城県,2023-07-14 00:00:00,,
9,栃木県,2023-07-14 00:00:00,,
10,群馬県,2023-07-14 00:00:00,,
11,埼玉県,2023-07-14 00:00:00,,
12,千葉県,2023-07-14 00:00:00,,
13,東京都,2023-07-14 00:00:00,,
14,神奈川県,2023-07-14 00:00:00,,
15,新潟県,2023-07-14 00:00:00,,
16,富山県,2023-07-14 00:00:00,,
17,石川県,2023-07-14 00:00:00,,
18,福井県,2023-07-14 00:00:00,,
19,山梨県,2023-07-14 00:00:00,,
20,長野県,2023-07-14 00:00:00,,
21,岐阜県,2023-07-14 00:00:00,,
22,静岡県,2023-07-14 00:00:00,,
23,愛知県,2023-07-14 00:00:00,,
24,三重県,2023-07-14 00:00:00,,
25,滋賀県,2023-07-14 00:00:00,,
26,京都府,2023-07-14 00:00:00,,
27,大阪府,2023-07-14 00:00:00,,
28,兵庫県,2023-07-14 00:00:00,,
29,奈良県,2023-07-14 00:00:00,,
30,和歌山県,2023-07-14 00:00:00,,
31,鳥取県,2023-07-14 00:00:00,,
32,島根県,2023-07-14 00:00:00,,
33,岡山県,2023-07-14 00:00:00,,
34,広島県,2023-07-14 00:00:00,,
35,山口県,2023-07-14 00:00:00,,
36,徳島県,2023-07-14 00:00:00,,
37,香川県,2023-07-14 00:00:00,,
38,愛媛県,2023-07-14 00:00:00,,
39,高知県,2023-07-14 00:00:00,,
40,福岡県,2023-07-14 00:00:00,,
41,佐賀県,2023-07-14 00:00:00,,
42,長崎県,2023-07-14 00:00:00,,
43,熊本県,2023-07-14 00:00:00,,
44,大分県,2023-07-14 00:00:00,,
45,宮崎県,2023-07-14 00:00:00,,
46,鹿児島県,2023-07-14 00:00:00,,
47,沖縄県,2023-07-14 00:00:00,,